model_id,policy,seed,round,hv,igd
i01o_m1,qlogehvi_mixed,11,5,0.8652503483043835,0.04512461691665104
i01o_m1,qlogehvi_mixed,11,6,0.8652503483043835,0.04512461691665104
i01o_m1,qlogehvi_mixed,11,7,0.9243319586607566,0.025643754905283856
i01o_m1,qlogehvi_mixed,11,8,0.9243319586607566,0.025643754905283856
i01o_m1,qlogehvi_mixed,11,9,0.9243319586607566,0.025643754905283856
i01o_m1,qlogehvi_mixed,11,10,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,11,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,12,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,13,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,14,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,15,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,16,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,17,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,18,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,19,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,11,20,0.9285213035492565,0.023289098116556536
i01o_m1,qlogehvi_mixed,12,1,0.8156542330168459,0.0854491459045665
i01o_m1,qlogehvi_mixed,12,2,0.8156542330168459,0.0854491459045665
i01o_m1,qlogehvi_mixed,12,3,0.8174421577108459,0.0854491459045665
i01o_m1,qlogehvi_mixed,12,4,0.8174421577108459,0.0854491459045665
i01o_m1,qlogehvi_mixed,12,5,0.8191029298368563,0.0854491459045665
i01o_m1,qlogehvi_mixed,12,6,0.8191029298368563,0.0854491459045665
i01o_m1,qlogehvi_mixed,12,7,0.8633328646039888,0.04581579054176207
i01o_m1,qlogehvi_mixed,12,8,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed,12,9,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed,12,10,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed,12,11,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed,12,12,0.9296899150937776,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,13,0.9296899150937776,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,14,0.9296899150937776,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,15,0.9296899150937776,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,16,0.9296899150937776,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,17,0.9296899150937776,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,18,0.9296912600958993,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,19,0.9296912600958993,0.0006843112908583083
i01o_m1,qlogehvi_mixed,12,20,0.9296912600958993,0.0006843112908583083
i01o_m1,qlogehvi_mixed,13,1,0.8318387303901152,0.0705827383917781
