model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i06o_m6,parego_seed,12,20,0,1.0,0.8703926311056758,0.8822301404526871,0.05638565569091286,0.044831724771725305,0.8568350751013634,0.8822301404526871,0.8822301404526871,73.86771959997714,0,0
i06o_m6,parego_seed,13,20,0,1.0,0.8603384848865132,0.8661576540054235,0.0660657972927413,0.060525238494741535,0.8499605305271983,0.8661377013493694,0.8661576540054235,75.8893860999815,0,0
i06o_m6,qlogehvi_mixed,11,20,0,1.0,0.8763333010835883,0.8904382470119522,0.05086493101560442,0.03741119951464085,0.874449675599074,0.8904382470119522,0.8904382470119522,84.99185209997813,0,0
i06o_m6,qlogehvi_mixed,12,20,0,1.0,0.9072817921777335,0.9304129364204918,0.03212473570309245,0.015795727253027792,0.8612930600399069,0.930355937899851,0.9304129364204918,113.00717240000085,0,0
i06o_m6,qlogehvi_mixed,13,20,0,1.0,0.903060086886791,0.9423074877412915,0.034284012798107576,0.008764482729538118,0.8519654375075408,0.88348234679937,0.9423074877412915,92.73066619993187,0,0
i06o_m6,qlogehvi_mixed_seed,11,20,0,1.0,0.8962171817615106,0.9266496464553601,0.03868783986318608,0.017294828325944853,0.8449775030920343,0.9092191701776069,0.9266496464553601,100.77488680001989,0,0
i06o_m6,qlogehvi_mixed_seed,12,20,0,1.0,0.9074159755203631,0.930355937899851,0.03375126693845989,0.017225082073636273,0.8442723761087239,0.930355937899851,0.930355937899851,121.02730620000511,0,0
i06o_m6,qlogehvi_mixed_seed,13,20,0,1.0,0.8846392648290339,0.937639823196313,0.0488285082972946,0.0135978673970432,0.8450156752451659,0.8794379680820098,0.937639823196313,108.44398039999942,0,0
i06o_m6,random,11,20,0,1.0,0.8741062796219377,0.8853124324662144,0.05233178196851817,0.04138553133413055,0.8586721457129437,0.8853013417644481,0.8853124324662144,138.96296309998434,0,0
i06o_m6,random,12,20,0,1.0,0.8701276375930874,0.8758326465809496,0.05669288437845498,0.05137196416378352,0.8612930600399069,0.8758326465809496,0.8758326465809496,134.34748570001102,0,0
i06o_m6,random,13,20,0,1.0,0.8741820206832418,0.894850988369193,0.05332985066721214,0.03482538961593136,0.8519626097456229,0.8728010550718798,0.894850988369193,141.77247769993846,0,0
